fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
HRDF11,FUNDO DE DESENVOLVIMENTO,"R$ 4,50","0,73",N/A,"9.298.063,48",0,#VALUE!,#VALUE!,#VALUE!
JASC11,IMÓVEIS COMERCIAIS - OUTROS,"R$ 100,00","0,97","0,00%","279.182.856,28",12,"R$ 0,00","R$ 0,00","R$ 0,00"
JBFO11,PAPÉIS,"R$ 87,00","0,98","0,00%","113.272.773,06",0,"R$ 0,00","R$ 0,00","R$ 0,00"
JRDM11,SHOPPINGS,"R$ 85,90","0,97",N/A,"224.143.181,16",1,#VALUE!,#VALUE!,#VALUE!
KNPR11,INDEFINIDO,N/A,N/A,"0,00%","59.836.399,52",0,"R$ 0,00","R$ 0,00","R$ 0,00"
KNUQ11,INDEFINIDO,N/A,N/A,"0,00%","195.202.048,33",0,"R$ 0,00","R$ 0,00","R$ 0,00"
LAVF11,INDEFINIDO,N/A,N/A,"0,00%","116.243,80",0,"R$ 0,00","R$ 0,00","R$ 0,00"
LFTT11,PAPÉIS,"R$ 46,00","1,79",N/A,"190.205.057,21",250,#VALUE!,#VALUE!,#VALUE!
LLAO11,MISTO,N/A,N/A,N/A,"34.385.610,06",16,#VALUE!,#VALUE!,#VALUE!
LPLP11,INDEFINIDO,N/A,N/A,N/A,"127.425.321,59",0,#VALUE!,,
LSPA11,PAPÉIS,"R$ 102,00","0,89","0,00%","46.257.916,55",0,"R$ 0,00","R$ 0,00","R$ 0,00"
MBRF11,LAJES CORPORATIVAS,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
MGRI11,INDEFINIDO,N/A,N/A,"0,00%","23.233.113,90",1,"R$ 0,00","R$ 0,00","R$ 0,00"
MMPD11,INDEFINIDO,N/A,N/A,"0,00%","58.680.032,62",0,"R$ 0,00","R$ 0,00","R$ 0,00"
NVIF11B,FUNDO DE DESENVOLVIMENTO,"R$ 227,50","0,62","0,00%","123.817.172,28",2,"R$ 0,00","R$ 0,00","R$ 0,00"
ORPD11,FUNDO DE DESENVOLVIMENTO,93,"0,63","0,00%","42.524.987,27",0,"R$ 0,00",,
PABY11,FUNDO DE DESENVOLVIMENTO,24,N/A,N/A,"-14.548.034,91",15,#VALUE!,,
PATB11,LAJES CORPORATIVAS,N/A,N/A,"0,00%","645.120.405,08",3,"R$ 0,00",,
PATC11,FUNDO DE DESENVOLVIMENTO,"R$ 71,53","0,98",N/A,"254.830.960,26",7,#VALUE!,#VALUE!,#VALUE!
PNDL11,FUNDO DE DESENVOLVIMENTO,"R$ 1.291,99","1,29","0,00%","96.114.096,00",0,"R$ 0,00","R$ 0,00","R$ 0,00"
PNRC11,N/A,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
PRSV11,LAJES CORPORATIVAS,"R$ 85,19","0,4",N/A,"41.214.748,37",1,#VALUE!,#VALUE!,#VALUE!
PRTS11,SHOPPINGS,"R$ 117,70","1.961,67",N/A,"3.111.607,44",2,#VALUE!,#VALUE!,#VALUE!
RBCO11,LAJES CORPORATIVAS,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
RBRI11,FUNDO DE DESENVOLVIMENTO,915,"0,77",N/A,"162.915.520,16",0,#VALUE!,,
RBRM11,FUNDO DE DESENVOLVIMENTO,"R$ 94.794,81","3,44","0,00%","14.848.062,96",0,"R$ 0,00","R$ 0,00","R$ 0,00"
RBTS11,FUNDO DE DESENVOLVIMENTO,"R$ 1.121,00","1,37","0,00%","46.273.696,75",0,"R$ 0,00","R$ 0,00","R$ 0,00"
REIT11,PAPÉIS,"R$ 190,00","0,65","0,00%","7.659.273,22",0,"R$ 0,00","R$ 0,00","R$ 0,00"
ROOF11,FUNDO DE DESENVOLVIMENTO,"R$ 500,00","0,84","0,00%","45.918.329,95",76,"R$ 0,00","R$ 0,00","R$ 0,00"
RSPD11,FUNDO DE DESENVOLVIMENTO,"1.125,00","0,98","0,00%","170.687.461,60",0,"R$ 0,00",,
SHOP11,SHOPPINGS,"R$ 68,00","1,43",N/A,"70.340.719,59",1,#VALUE!,#VALUE!,#VALUE!
SHSO11,INDEFINIDO,N/A,N/A,"0,00%","19.923.047,67",0,"R$ 0,00","R$ 0,00","R$ 0,00"
SIGR11,INDEFINIDO,"R$ 100,00","0,97","0,00%","40.045.547,93",0,"R$ 0,00","R$ 0,00","R$ 0,00"
SOLR11,IMÓVEIS COMERCIAIS - OUTROS,"R$ 1.128,06","1,18","0,00%","59.920.468,57",1,"R$ 0,00","R$ 0,00","R$ 0,00"
SPMO11,INDEFINIDO,"R$ 99,00","0,79","0,00%","226.243.719,24",0,"R$ 0,00","R$ 0,00","R$ 0,00"
SPVJ11,SHOPPINGS,N/A,N/A,"0,00%","737.079.305,24",15,"R$ 0,00","R$ 0,00","R$ 0,00"
STRX11,FUNDO DE DESENVOLVIMENTO,"8,52","0,05","0,00%","264.687.656,20",3,"R$ 0,00",,
TCPF11,MISTO,"R$ 1,26","0,01","0,00%","37.245.835,78",0,"R$ 0,00","R$ 0,00","R$ 0,00"
VIDS11,FUNDO DE DESENVOLVIMENTO,N/A,N/A,"0,00%","81.713.923,88",0,"R$ 0,00","R$ 0,00","R$ 0,00"
VJFD11,PAPÉIS,N/A,N/A,"0,00%","664.817.502,79",39,"R$ 0,00","R$ 0,00","R$ 0,00"
VLIQ11,INDEFINIDO,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
VLOL11,LAJES CORPORATIVAS,"R$ 98,00","0,88",N/A,"198.219.080,15",1,#VALUE!,#VALUE!,#VALUE!
VTPL11,PAPÉIS,N/A,N/A,"0,00%","106.790.661,38",2,"R$ 0,00","R$ 0,00","R$ 0,00"
VXXV11,FUNDO DE DESENVOLVIMENTO,"1.030,00","0,96","0,00%","285.710.669,37",2,"R$ 0,00",,
XPHT11,HOTÉIS,"R$ 123,00","2,21",N/A,"607.450.694,60",12,#VALUE!,#VALUE!,#VALUE!
XTED11,LAJES CORPORATIVAS,"8,82","0,68",N/A,"67.378.204,04",1,#VALUE!,,
YUFI11B,INDEFINIDO,N/A,N/A,"0,00%",N/A,0,"R$ 0,00","R$ 0,00","R$ 0,00"
ZIFI11,FUNDO DE DESENVOLVIMENTO,898,"0,74","0,00%","57.257.472,65",0,"R$ 0,00",,
