fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
BNFS11,AGÊNCIAS DE BANCOS,"R$ 122,06","1,33","1,22%","64.243.804,66",18,"R$ 12,40","R$ 124,00","R$ 1.240,00"
RPRI11,PAPÉIS,"R$ 96,98","0,95","1,22%","229.002.305,38",0,"R$ 12,40","R$ 124,00","R$ 1.240,00"
HABT11,PAPÉIS,"93,72","0,94","1,24%","806.636.236,32",0,"R$ 12,40","R$ 124,00","R$ 1.240,00"
BBGO11,INDEFINIDO,"91,64","0,84","1,24%","392.550.389,63",0,"R$ 12,40","R$ 124,00","R$ 1.240,00"
PEMA11,PAPÉIS,"R$ 37,50","0,51","1,24%","40.473.090,64",0,"R$ 12,40","R$ 124,00","R$ 1.240,00"
OURE11,MISTO,"R$ 81,89","0,89","1,24%","99.426.694,47",4,"R$ 12,40","R$ 124,00","R$ 1.240,00"
NCHB11,PAPÉIS,"R$ 84,01","0,91","1,24%","155.903.400,38",0,"R$ 12,50","R$ 125,00","R$ 1.250,00"
OUJP11,PAPÉIS,"R$ 101,37","1,03","1,24%","321.102.643,06",0,"R$ 12,50","R$ 125,00","R$ 1.250,00"
ARRI11,PAPÉIS,"8,8","0,98","1,25%","117.478.338,91",0,"R$ 12,50","R$ 125,00","R$ 1.250,00"
GCRA11,INDEFINIDO,"R$ 91,20","0,95","1,25%","171.608.604,07",0,"R$ 12,60","R$ 126,00","R$ 1.260,00"
RBHG11,PAPÉIS,"R$ 88,87","0,97","1,25%","158.729.718,92",0,"R$ 12,60","R$ 126,00","R$ 1.260,00"
URPR11,PAPÉIS,"R$ 96,26","0,96","1,26%","1.167.835.850,29",0,"R$ 12,70","R$ 127,00","R$ 1.270,00"
GRWA11,INDEFINIDO,"R$ 10,44","1,03","1,26%","12.843.636,12",0,"R$ 12,70","R$ 127,00","R$ 1.270,00"
RBHY11,PAPÉIS,"R$ 96,50","1,03","1,27%","177.423.742,33",0,"R$ 12,80","R$ 128,00","R$ 1.280,00"
VGIR11,PAPÉIS,"R$ 9,85","1,02","1,27%","995.247.970,32",0,"R$ 12,80","R$ 128,00","R$ 1.280,00"
VCRI11,PAPÉIS,"R$ 8,42","0,87","1,28%","171.490.682,95",0,"R$ 12,80","R$ 128,00","R$ 1.280,00"
DCRA11,MISTO,"R$ 9,33",N/A,"1,28%",N/A,0,"R$ 12,90","R$ 129,00","R$ 1.290,00"
OGHY11,INDEFINIDO,"R$ 10,30","1,06","1,28%","20.112.928,05",0,"R$ 12,90","R$ 129,00","R$ 1.290,00"
JGPX11,INDEFINIDO,"R$ 102,75",1,"1,29%","81.784.381,54",0,"R$ 12,90","R$ 129,00","R$ 1.290,00"
CDII11,INDEFINIDO,"R$ 105,88",N/A,"1,29%",N/A,0,"R$ 13,00","R$ 130,00","R$ 1.300,00"
VCRA11,INDEFINIDO,"R$ 95,12","0,98","1,29%","471.373.746,60",0,"R$ 13,10","R$ 131,00","R$ 1.310,00"
RZAG11,INDEFINIDO,"9,66","0,98","1,30%","647.813.930,73",0,"R$ 13,10","R$ 131,00","R$ 1.310,00"
VGIA11,INDEFINIDO,"R$ 9,41",1,"1,31%","821.089.744,86",0,"R$ 13,20","R$ 132,00","R$ 1.320,00"
IAAG11,INDEFINIDO,"9,90","1,03","1,31%","52.456.629,44",0,"R$ 13,20","R$ 132,00","R$ 1.320,00"
AGRX11,OUTROS,"R$ 10,84",N/A,"1,32%",N/A,0,"R$ 13,20","R$ 132,00","R$ 1.320,00"
XPCA11,INDEFINIDO,"R$ 9,49","1,04","1,32%","317.410.269,39",0,"R$ 13,30","R$ 133,00","R$ 1.330,00"
AAZQ11,INDEFINIDO,"R$ 9,30","1,01","1,32%","230.646.828,88",0,"R$ 13,50","R$ 135,00","R$ 1.350,00"
BDIF11,FUNDO DE DESENVOLVIMENTO,"R$ 97,79",N/A,"1,33%",N/A,0,"R$ 13,60","R$ 136,00","R$ 1.360,00"
JPPA11,PAPÉIS,"R$ 99,97","1,01","1,35%","89.773.410,62",0,"R$ 13,60","R$ 136,00","R$ 1.360,00"
